,symbol,name,currency,exchange,mic_code,country,type
32158,ACGX,"Alliance Creative Group, Inc.",USD,OTC,Pink,United States,Common Stock
32159,ACGYF,Subsea 7 S.A.,USD,OTC,Pink,United States,Common Stock
32162,ACHFF,Arch Biopartners Inc.,USD,OTC,OTCQB,United States,Common Stock
32163,ACHHY,Aluminum Corporation of China Ltd.,USD,OTC,Pink,United States,Common Stock
32183,ACJJF,Acom Co. Ltd.,USD,OTC,Pink,United States,Common Stock
32185,ACKAY,Arcelik  A.S.,USD,OTC,Pink,United States,American Depositary Receipt
32188,ACKDF,Auckland International Airport Ltd.,USD,OTC,Pink,United States,Common Stock
32193,ACKRF,"American Creek Resources, Ltd.",USD,OTC,Pink,United States,Common Stock
32197,ACLH,"Act Clean Technologies, Inc.",USD,OTC,Grey,United States,Common Stock
32198,ACLHF,Acme Lithium Inc.,USD,OTC,Pink,United States,Common Stock
32199,ACLIF,ACCELLERON INDUSTRIES AG,USD,OTC,Pink,United States,Common Stock
32200,ACLLF,Atco Ltd.,USD,OTC,Pink,United States,Common Stock
32201,ACLLY,Accelleron Industries AG,USD,OTC,Pink,United States,American Depositary Receipt
32205,ACLTF,Atco Ltd.,USD,OTC,Grey,United States,Common Stock
32208,ACMB,Agro Capital Management Corp,USD,OTC,Pink,United States,Common Stock
32209,ACMDY,Atlas Consolidated Mining & Development Corp.,USD,OTC,Pink,United States,American Depositary Receipt
32213,ACMLF,Ascom Holding AG,USD,OTC,Grey,United States,Common Stock
32215,ACMT,ACMAT Corp.,USD,OTC,Pink,United States,Common Stock
32216,ACMTA,ACMAT Corp.,USD,OTC,Pink,United States,Common Stock
32221,ACNDF,Ascendas India Trust,USD,OTC,Pink,United States,Common Stock
32222,ACNE,"Alice Consolidated Mines, Inc.",USD,OTC,Pink,United States,Common Stock
32223,ACNFF,Amsterdam Commodities N.V.,USD,OTC,Grey,United States,Common Stock
32224,ACNI,"American Community Newspapers, Inc.",USD,OTC,Pink,United States,Common Stock
32226,ACNNF,AusCann Group Holdings Ltd.,USD,OTC,OTCQX,United States,Common Stock
32228,ACNV,"Accelera Innovations, Inc.",USD,OTC,Pink,United States,Common Stock
32232,ACOGF,Alpha Cognition Inc.,USD,OTC,Pink,United States,Common Stock
32237,ACOPF,A2 Milk Co Ltd.,USD,OTC,Pink,United States,Common Stock
32238,ACOPY,The A2 Milk Co Ltd.,USD,OTC,Pink,United States,American Depositary Receipt
32251,ACPRD,ARCPACIFIC RES CORP.,USD,OTC,Pink,United States,Common Stock
32252,ACPRF,ARCPACIFIC RES CORP.,USD,OTC,Pink,United States,Common Stock
32269,ACRDF,"Acreage Holdings, Inc.",USD,OTC,Pink,United States,Common Stock
32271,ACRFF,Accor SA Ltd.,USD,OTC,Pink,United States,Common Stock
32272,ACRG,American Clean Resources Group Inc.,USD,OTC,Pink,United States,Common Stock
32276,ACRHF,"Acreage Holdings, Inc.",USD,OTC,Pink,United States,Common Stock
32280,ACRL,"Atacama Resources International, Inc.",USD,OTC,Pink,United States,Common Stock
32290,ACRU,AMERICREW INC.,USD,OTC,Pink,United States,Common Stock
32300,ACSAF,ACS Actividades De Construccion Y Servicios SA,USD,OTC,Pink,United States,Common Stock
32301,ACSAY,ACS Actividades De Construccion Y Servicios SA,USD,OTC,Pink,United States,American Depositary Receipt
32302,ACSEF,"ACS Motion Control, Ltd.",USD,OTC,Pink,United States,Common Stock
32308,ACSYF,Accsys Technologies PLC,USD,OTC,Pink,United States,Common Stock
32317,ACTHF,ADURO CLEAN TECHNOLOGIES INC.,USD,OTC,Pink,United States,Common Stock
32321,ACTL,"Artec Global Media, Inc.",USD,OTC,Pink,United States,Common Stock
32322,ACTX,"Advanced Container Technologies, Inc.",USD,OTC,Pink,United States,Common Stock
32326,ACUR,"Acura Pharmaceuticals, Inc.",USD,OTC,OTCQB,United States,Common Stock
32327,ACUS,"Acusphere, Inc.",USD,OTC,Pink,United States,Common Stock
32328,ACUT,Accustem Sciences Inc.,USD,OTC,Pink,United States,Common Stock
32341,ACWRF,Acceleware Ltd.,USD,OTC,Pink,United States,Common Stock
32349,ACXIF,Acciona S.A.,USD,OTC,Pink,United States,Common Stock
32373,ADAD,Adaiah Distribution Inc.,USD,OTC,Pink,United States,Common Stock
32399,ADBCF,Adelaide Brighton Ltd.,USD,OTC,Pink,United States,Common Stock
32406,ADBKF,Addiko Bank AG,USD,OTC,Pink,United States,Common Stock
32408,ADBN,"Americana Distribution, Inc.",USD,OTC,Expert Market,United States,Common Stock
