,symbol,name,currency,exchange,mic_code,country,type
132,000428,"Huatian Hotel Group Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
133,000429,"Guangdong Provincial Expressway Development Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
134,000430,"Zhang Jia Jie Tourism Group Co., Ltd",CNY,SZSE,XSHE,China,Common Stock
138,000488,Shandong Chenming Paper Holdings Limited,CNY,SZSE,XSHE,China,Common Stock
140,000498,"Shandong Hi-Speed Road and Bridge Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
144,000501,"Wuhan Department Store Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
145,000503,"China Reform Health Management and Services Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
146,000504,"NanHua Bio-medicine Co., Ltd",CNY,SZSE,XSHE,China,Common Stock
147,000505,"Hainan Jingliang Holdings Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
148,000506,Zhongrun Resources Investment Corporation,CNY,SZSE,XSHE,China,Common Stock
149,000507,"Zhuhai Port Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
150,000509,"Huasu Holdings Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
151,000510,"Sichuan Xinjinlu Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
152,000513,Livzon Pharmaceutical Group Inc.,CNY,SZSE,XSHE,China,Common Stock
153,000514,"Chongqing Yukaifa Co., Ltd",CNY,SZSE,XSHE,China,Common Stock
154,000516,Xi'an International Medical Investment Company Limited,CNY,SZSE,XSHE,China,Common Stock
155,000517,"Rongan Property Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
156,000518,"Jiangsu Sihuan Bioengineering Co., Ltd",CNY,SZSE,XSHE,China,Common Stock
157,000519,"North Industries Group Red Arrow Co., Ltd",CNY,SZSE,XSHE,China,Common Stock
158,000520,"Chang Jiang Shipping Group Phoenix Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
160,000521,"Changhong Meiling Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
161,000523,"Lonkey Industrial Co.,Ltd.Guangzhou",CNY,SZSE,XSHE,China,Common Stock
162,000524,Guangzhou Lingnan Group Holdings Company Limited,CNY,SZSE,XSHE,China,Common Stock
163,000525,"Nanjing Red Sun Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
164,000526,Xueda ,CNY,SZSE,XSHE,China,Common Stock
165,000528,"Guangxi Liugong Machinery Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
166,000529,"Guangdong Guanghong Holdings Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
167,000530,"Bingshan Refrigeration & Heat Transfer Technologies Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
168,000531,Guangzhou Hengyun Enterprises Holding Ltd,CNY,SZSE,XSHE,China,Common Stock
169,000532,"Zhuhai Huajin Capital Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
170,000533,"Guangdong Shunna Electric Co., Ltd",CNY,SZSE,XSHE,China,Common Stock
171,000534,"Wedge Industrial Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
172,000536,CPT Technology ,CNY,SZSE,XSHE,China,Common Stock
173,000537,"Tianjin Guangyu Development Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
174,000538,"Yunnan Baiyao Group Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
175,000539,"Guangdong Electric Power Development Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
177,000540,Zhongtian Financial Group Company Limited,CNY,SZSE,XSHE,China,Common Stock
178,000541,"Foshan Electrical and Lighting Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
179,000543,An Hui Wenergy Company Limited,CNY,SZSE,XSHE,China,Common Stock
180,000544,"Central Plains Environment Protection Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
181,000545,"Gpro Titanium Industry Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
183,000546,"Jinyuan EP Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
185,000547,"Addsino Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
186,000548,"Hunan Investment Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
187,000550,"Jiangling Motors Corporation, Ltd.",CNY,SZSE,XSHE,China,Common Stock
188,000551,"Create Technology & Science Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
189,000552,"Gansu Jingyuan Coal Industry & Electricity Power Co., Ltd",CNY,SZSE,XSHE,China,Common Stock
190,000553,ADAMA Ltd.,CNY,SZSE,XSHE,China,Common Stock
191,000554,"SINOPEC Shandong Taishan Pectroleum Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
192,000555,Digital China Information Service Company Ltd.,CNY,SZSE,XSHE,China,Common Stock
193,000557,"Ningxia Western Venture Industrial Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
194,000558,"Lander Sports Development Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
195,000559,"Wanxiang Qianchao Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
196,000560,"5i5j Holding Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
197,000561,"Shaanxi Fenghuo Electronics Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
198,000563,"Shaanxi International Trust Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
199,000564,"Ccoop Group Co., Ltd",CNY,SZSE,XSHE,China,Common Stock
200,000565,"Chongqing Sanxia Paints Co., Ltd",CNY,SZSE,XSHE,China,Common Stock
201,000566,"Hainan Haiyao Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
202,000567,"Hainan Haide Capital Management Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
203,000568,"Luzhou Laojiao Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
204,000570,"Changchai Company, Limited",CNY,SZSE,XSHE,China,Common Stock
205,000571,"Sundiro Holding Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
206,000572,"Haima Automobile Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
207,000573,DongGuan Winnerway Industry Zone LTD.,CNY,SZSE,XSHE,China,Common Stock
208,000576,"Guangdong Ganhua Science and Industry Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
