,symbol,name,currency,exchange,mic_code,country,type
78674,MPLN.WT,MultiPlan Corporation,USD,NYSE,XNYS,United States,Common Stock
78675,MPLX,MPLX LP,USD,NYSE,XNYS,United States,Limited Partnership
78709,MPTI,"M-tron Industries, Inc.",USD,NYSE,XASE,United States,Common Stock
78716,MPW,Medical Properties Trust Inc,USD,NYSE,XNYS,United States,REIT
78722,MPX,Marine Products Corp,USD,NYSE,XNYS,United States,Common Stock
78768,MRC,MRC Global Inc,USD,NYSE,XNYS,United States,Common Stock
78781,MRDB,MariaDB plc,USD,NYSE,XNYS,United States,Common Stock
78822,MRK,Merck & Co Inc,USD,NYSE,XNYS,United States,Common Stock
78871,MRO,Marathon Oil Corp,USD,NYSE,XNYS,United States,Common Stock
78946,MS,Morgan Stanley,USD,NYSE,XNYS,United States,Common Stock
78964,MS-A,Morgan Stanley,USD,NYSE,XNYS,United States,Preferred Stock
78965,MSA,MSA Safety Inc,USD,NYSE,XNYS,United States,Common Stock
78979,MSB,Mesabi Trust,USD,NYSE,XNYS,United States,Trust
78993,MSC,Studio City International Holdings Ltd,USD,NYSE,XNYS,United States,Depositary Receipt
78995,MSCI,MSCI Inc,USD,NYSE,XNYS,United States,Common Stock
79004,MS-E,Morgan Stanley,USD,NYSE,XNYS,United States,Preferred Stock
79014,MS-F,Morgan Stanley,USD,NYSE,XNYS,United States,Preferred Stock
79042,MSGE,Madison Square Garden Entertainment Corp,USD,NYSE,XNYS,United States,Common Stock
79047,MSGS,Madison Square Garden Sports C,USD,NYSE,XNYS,United States,Common Stock
79054,MS-I,Morgan Stanley,USD,NYSE,XNYS,United States,Preferred Stock
79056,MSI,Motorola Solutions Inc,USD,NYSE,XNYS,United States,Common Stock
79067,MS-K,Morgan Stanley,USD,NYSE,XNYS,United States,Preferred Stock
79072,MS-L,Morgan Stanley,USD,NYSE,XNYS,United States,Preferred Stock
79084,MSM,MSC Industrial Direct Co Inc,USD,NYSE,XNYS,United States,Common Stock
79089,MSN,Emerson Radio Corp,USD,NYSE,XASE,United States,Common Stock
79094,MS-O,Morgan Stanley Depositary Share,USD,NYSE,XNYS,United States,Preferred Stock
79111,MS.PR.P,Morgan Stanley,USD,NYSE,XNYS,United States,Common Stock
79165,MT,ArcelorMittal,USD,NYSE,XNYS,United States,Common Stock
79181,MTA,Metalla Royalty & Streaming Ltd,USD,NYSE,XASE,United States,Common Stock
79189,MTAL,Metals Acquisition Corp,USD,NYSE,XNYS,United States,Common Stock
79191,MTAL.UN,Metals Acquisition Corp,USD,NYSE,XNYS,United States,Unit
79195,MTB,M&T Bank Corp,USD,NYSE,XNYS,United States,Common Stock
79204,MTB.PR.H,M&T Bank Corporation,USD,NYSE,XNYS,United States,Common Stock
79214,MTCN,ArcelorMittal 5.50% Mandatorily,USD,NYSE,XNYS,United States,Common Stock
79221,MTD,Mettler-Toledo International Inc,USD,NYSE,XNYS,United States,Common Stock
79223,MTDR,Matador Resources Co,USD,NYSE,XNYS,United States,Common Stock
79243,MTG,MGIC Investment Corp,USD,NYSE,XNYS,United States,Common Stock
79250,MTH,Meritage Homes Corp,USD,NYSE,XNYS,United States,Common Stock
79292,MTMT,Mega Matrix Corp.,USD,NYSE,XASE,United States,Common Stock
79296,MTN,Vail Resorts Inc,USD,NYSE,XNYS,United States,Common Stock
79297,MTNB,Matinas BioPharma Holdings Inc,USD,NYSE,XASE,United States,Common Stock
79326,MTR,Mesa Royalty Trust,USD,NYSE,XNYS,United States,Trust
79335,MTRN,Materion Corp,USD,NYSE,XNYS,United States,Common Stock
79381,MTVC,Motive Capital Corp II,USD,NYSE,XNYS,United States,Common Stock
79384,MTW,Manitowoc Co Inc-The,USD,NYSE,XNYS,United States,Common Stock
79390,MTX,Minerals Technologies Inc,USD,NYSE,XNYS,United States,Common Stock
79399,MTZ,MasTec Inc,USD,NYSE,XNYS,United States,Common Stock
79423,MUFG,Mitsubishi UFJ Financial Group Inc,USD,NYSE,XNYS,United States,Depositary Receipt
79471,MUR,Murphy Oil Corp,USD,NYSE,XNYS,United States,Common Stock
79487,MUSA,Murphy USA Inc,USD,NYSE,XNYS,United States,Common Stock
79514,MUX,McEwen Mining Inc,USD,NYSE,XNYS,United States,Common Stock
79557,MVO,MV Oil Trust,USD,NYSE,XNYS,United States,Trust
79591,MWA,Mueller Water Products Inc,USD,NYSE,XNYS,United States,Common Stock
79630,MX,MagnaChip Semiconductor Corp,USD,NYSE,XNYS,United States,Common Stock
79648,MXC,Mexco Energy Corp,USD,NYSE,XASE,United States,Common Stock
79701,MYE,Myers Industries Inc,USD,NYSE,XNYS,United States,Common Stock
79728,MYO,Myomo Inc,USD,NYSE,XASE,United States,Common Stock
79731,MYOV,Myovant Sciences Ltd,USD,NYSE,XNYS,United States,Common Stock
79754,MYTE,MYT Netherlands Parent B.V.,USD,NYSE,XNYS,United States,Common Stock
79951,NABL,"N-able, Inc.",USD,NYSE,XNYS,United States,Common Stock
80002,NAK,Northern Dynasty Minerals Ltd,USD,NYSE,XASE,United States,Common Stock
80033,NAPA,"The Duckhorn Portfolio, Inc.",USD,NYSE,XNYS,United States,Common Stock
80064,NAT,Nordic American Tankers Ltd,USD,NYSE,XNYS,United States,Common Stock
80108,NAVB,Navidea Biopharmaceuticals Inc,USD,NYSE,XASE,United States,Common Stock
80169,NBHC,National Bank Holdings Corp,USD,NYSE,XNYS,United States,Common Stock
80203,NBR,Nabors Industries Ltd,USD,NYSE,XNYS,United States,Common Stock
80228,NBY,NovaBay Pharmaceuticals Inc,USD,NYSE,XASE,United States,Common Stock
80232,NC,NACCO Industries Inc,USD,NYSE,XNYS,United States,Common Stock
80305,NCLH,Norwegian Cruise Line Holdings Ltd,USD,NYSE,XNYS,United States,Common Stock
