,symbol,name,currency,exchange,mic_code,country,type
90101,RICHAIND,Richa Industries Limited,INR,BSE,XBOM,India,Common Stock
90102,RICHA.SM,RICHA INFO SYSTEMS,INR,NSE,XNSE,India,Common Stock
90103,RICHIRICH,Richirich Inventures Limited,INR,BSE,XBOM,India,Common Stock
90105,RICHUNV,Rich Universe Network Limited,INR,BSE,XBOM,India,Common Stock
90110,RICOAUTO,Rico Auto Industries Limited,INR,BSE,XBOM,India,Common Stock
90111,RICOAUTO,Rico Auto Industries Limited,INR,NSE,XNSE,India,Common Stock
90115,RIDDHI,Riddhi Siddhi Gluco Biols Limited,INR,BSE,XBOM,India,Common Stock
90116,RIDDHICORP,Riddhi Corporate Services Limited,INR,BSE,XBOM,India,Common Stock
90126,RIGASUG,Riga Sugar Company Limited,INR,BSE,XBOM,India,Common Stock
90140,RIIL,Reliance Industrial Infrastructure Limited,INR,BSE,XBOM,India,Common Stock
90141,RIIL,Reliance Industrial Infrastructure Limited,INR,NSE,XNSE,India,Common Stock
90146,RILINFRA.SM,Rachana Infra Ltd,INR,NSE,XNSE,India,Common Stock
90193,RIR,Ruttonsha International Rectifier Ltd.,INR,BSE,XBOM,India,Common Stock
90194,RISAINTL,RISA INTERNATIONAL LTD.,INR,BSE,XBOM,India,Common Stock
90199,RISHDIGA,Rishabh Digha Steel And Allied Products Limited,INR,BSE,XBOM,India,Common Stock
90200,RISHIROOP,Rishiroop Limited,INR,BSE,XBOM,India,Common Stock
90201,RISHITECH,Rishi Techtex Limited,INR,BSE,XBOM,India,Common Stock
90202,RISHYRN,RISHAB SPECIAL YARNS LTD.,INR,BSE,XBOM,India,Common Stock
90207,RITCO,Ritco Logistics Limited,INR,NSE,XNSE,India,Common Stock
90208,RITCO,Ritco Logistics Limited,INR,BSE,XBOM,India,Common Stock
90210,RITES,RITES Limited,INR,NSE,XNSE,India,Common Stock
90211,RITES,RITES Limited,INR,BSE,XBOM,India,Common Stock
90212,RITESHIN,Ritesh International Ltd,INR,BSE,XBOM,India,Common Stock
90213,RITEZONE.SM,RITE ZONE CHEMCON,INR,NSE,XNSE,India,Common Stock
90253,RJKMRFR,Rajkumar Forge Limited,INR,BSE,XBOM,India,Common Stock
90274,RKDL,Ravi Kumar Distilleries Limited,INR,BSE,XBOM,India,Common Stock
90275,RKDL,Ravi Kumar Distilleries Limited,INR,NSE,XNSE,India,Common Stock
90276,RKEC,RKEC Projects Limited,INR,NSE,XNSE,India,Common Stock
90279,RKFORGE,Ramkrishna Forgings Limited,INR,BSE,XBOM,India,Common Stock
90280,RKFORGE,Ramkrishna Forgings Limited,INR,NSE,XNSE,India,Common Stock
90343,RLF,RLF Limited,INR,BSE,XBOM,India,Common Stock
90346,RLFL,Ramchandra Leasing and Finance Limited,INR,BSE,XBOM,India,Common Stock
90412,RMC,RMC Switchgears Limited,INR,BSE,XBOM,India,Common Stock
90418,RMCL,Radha Madhav Corporation Limited,INR,NSE,XNSE,India,Common Stock
90419,RMCL,Radha Madhav Corporation Limited,INR,BSE,XBOM,India,Common Stock
90427,RMDRIP.SM,R M DRIP AND SPRIN,INR,NSE,XNSE,India,Common Stock
90462,RML,Rane ,INR,BSE,XBOM,India,Common Stock
90463,RML,Rane ,INR,NSE,XNSE,India,Common Stock
90526,RNAVAL,Reliance Naval and Engineering Limited,INR,BSE,XBOM,India,Common Stock
