,symbol,name,currency,exchange,mic_code,country,type
35459,APCOTEXIND,Apcotex Industries Limited,INR,NSE,XNSE,India,Common Stock
35486,APEX,Apex Frozen Foods Limited,INR,NSE,XNSE,India,Common Stock
35530,APLAPOLLO,APL Apollo Tubes Limited,INR,NSE,XNSE,India,Common Stock
35537,APLLTD,Alembic Pharmaceuticals Limited,INR,NSE,XNSE,India,Common Stock
35575,APOLLO,Apollo Micro Systems Limited,INR,NSE,XNSE,India,Common Stock
35578,APOLLOHOSP,Apollo Hospitals Enterprise Limited,INR,NSE,XNSE,India,Common Stock
35580,APOLLOPIPE,Apollo Pipes Limited,INR,NSE,XNSE,India,Common Stock
35582,APOLLOTYRE,Apollo Tyres Limited,INR,NSE,XNSE,India,Common Stock
35584,APOLSINHOT,Apollo Sindoori Hotels Limited,INR,NSE,XNSE,India,Common Stock
35629,APTECHT,Aptech Limited,INR,NSE,XNSE,India,Common Stock
35642,APTUS,Aptus Value Housing Finance India Limited,INR,NSE,XNSE,India,Common Stock
35811,ARCHIDPLY,Archidply Industries Limited,INR,NSE,XNSE,India,Common Stock
35813,ARCHIES,Archies Limited,INR,NSE,XNSE,India,Common Stock
35827,ARCOTECH,Arcotech Limited,INR,NSE,XNSE,India,Common Stock
35866,ARENTERP,Rajdarshan Industries Limited,INR,NSE,XNSE,India,Common Stock
35915,ARHAM.SM,ARHAM TECHNOLOGIES,INR,NSE,XNSE,India,Common Stock
35916,ARHAM.ST,Arham Technologies Ltd,INR,NSE,XNSE,India,Common Stock
35927,ARIES,Aries Agro Limited,INR,NSE,XNSE,India,Common Stock
35930,ARIHANT,Arihant Foundations & Housing Limited,INR,NSE,XNSE,India,Common Stock
35931,ARIHANTACA.SM,ARIHANT ACADEMY LT,INR,NSE,XNSE,India,Common Stock
35932,ARIHANTACA.ST,ARIHANT ACADEMY LIMITED,INR,NSE,XNSE,India,Common Stock
35933,ARIHANTCAP,Arihant Capital Markets Limited,INR,NSE,XNSE,India,Common Stock
35934,ARIHANTSUP,Arihant Superstructures Limited,INR,NSE,XNSE,India,Common Stock
36003,ARMANFIN,Arman Financial Services Limited,INR,NSE,XNSE,India,Common Stock
36036,AROGRANITE,Aro Granite Industries Limited,INR,NSE,XNSE,India,Common Stock
36078,ARROWGREEN,Arrow Greentech Limited,INR,NSE,XNSE,India,Common Stock
36097,ARSHIYA,Arshiya Limited,INR,NSE,XNSE,India,Common Stock
36102,ARSSINFRA,ARSS Infrastructure Projects Limited,INR,NSE,XNSE,India,Common Stock
36123,ARTEMISMED,Artemis Medicare Services Limited,INR,NSE,XNSE,India,Common Stock
36138,ARTNIRMAN,Art Nirman Limited,INR,NSE,XNSE,India,Common Stock
36161,ARVEE,Arvee Laboratories ,INR,NSE,XNSE,India,Common Stock
36162,ARVIND,Arvind Limited,INR,NSE,XNSE,India,Common Stock
36165,ARVINDFASN,Arvind Fashions Limited,INR,NSE,XNSE,India,Common Stock
36168,ARVSMART,Arvind SmartSpaces Limited,INR,NSE,XNSE,India,Common Stock
